<think>
Here's a thinking process that leads to the final answer:

1.  **Analyze the Request and Constraints**:
| **e03/e04** | Same physical event observed by multiple systems (WMS scan with location vs. Scanner reading) | Retain both with refined labels/qualifiers | High | e03, e04 | Add `wms_location` from e03 payload to a `system_attributes` dict; keep `scanner_reading` from e04 separate | Both retain `related_objects` O1,I1,P1 independently | Full: source, source_event_key, original_timestamp, payload_hash for each | Losing WMS location detail if merged into one event |
| **e03/e05** | Concurrent same-label events involving different objects (Pick Item for I1 vs. I2) | Retain both unchanged | High | e03, e05 | No merge; keep distinct `related_objects` (e03: O1,I1,P1; e05: O1,I2,P1) | No merge; e03O1,I1; e05O1,I2 | Full for each | Confusing I1 and I2 as same pick if order is misread |
| **e06/e07** | Summary event derived from detailed event (WMS pack detail vs. ERP status update) | Retain both; mark e07 as `derived_from` e06 | Medium-high | e06, e07 | e07 receives `derivation_rule: "ERP_status_update_from_WMS_pack"`; e06 attributes preserved as-is | e06 and e07 both link O1,P1; no relation collapse | e06 full; e07 adds `derivation_rule` and `source` = ERP | Treating e07 as the sole pack event, erasing WMS detail |
| **e08/e09** | Harmonization collision (WMS “released from warehouse” vs. CARRIER “accepted by carrier”  harmonized `Dispatch Package`) | Retain both; refine labels to distinguish warehouse release vs. carrier acceptance | High | e08, e09 | Restore `original_activity`: e08=`Released from warehouse`, e09=`Accepted by carrier` (pre-harmonization). Keep `canonical_activity = Dispatch Package` but tag `harmonization_source` | e08 relates O1,P1 as “release”; e09 relates O1,P1 as “acceptance” — both preserved | Full for each | Erasing the carrier-acceptance semantics under the generic Dispatch label |
| **e09/e10** | Lifecycle sequential events (carrier acceptance then handover) | Retain both; enforce e09 before e10 based on lifecycle constraint | High | e09, e10 | No attribute merge; keep distinct payloads (h-confirm vs. h-handover) | Order e09e10 in total order; `next_event` link from e09 to e10 | Full for each; e10 gains `prev_event: e09` | Reversing the order, implying handover before acceptance |
| **e11/e16** | Same physical invoice issuance, different system authority (ERP vs. Billing) | Retain both with attribute merge policy distinguishing authority | High | e11, e16 | Merge invoice attributes into `erp_attr` and `billing_attr` tags; keep `issue_invoice_eid` pointing to both; do not collapse eids | Both retain `related_objects` O1,V1 independently | Full: each eid’s source, source_event_key, original_timestamp | Losing sourcespecific attribute authority (e.g., tax ID from Billing vs. terms from ERP) |
| **e13/e14** | Distinct partial payments same timestamp (M1 vs. M2) | Retain both unchanged | High | e13, e14 | No merge; keep `payment_id` M1 for e13, M2 for e14 | No merge; e13M1, e14M2 | Full for each | Collapsing into one payment, losing the partialpayment split essential for reconciliation |
| **e13/e15** | Detailed capture vs. ERP summary (e15 has no Payment object) | Retain both; mark e15 as `derived_from` capture events | High | e13, e15 | e15 receives `event_type: summary`, `derivation_rule: "ERP_balance_update_after_messages"`; e13 attributes preserved | e15 links O1,V1; e13 links O1,V1,M1 | e13 full; e15 adds summary tags, no Payment object | Presenting e15 as the payment event, erasing the detailed capture and M1/M2 distinction |
| **e14/e15** | Specific partial payment vs. ERP summary | Retain both unchanged | High | e14, e15 | No merge; e15 marked as summary (see e13/e15) | e14M2, e15O1,V1 aggregate | Full for each; e14 retains M2 reference | Summarizing e14 into e15, hiding the second partial payment |

*Note*: All decisions respect the constraints: e05 and e14 are never dropped; no event is merged solely on equal activity and timestamp.

---

## 3. Timestamp-tie ordering rules

A deterministic partialordertototalorder policy that respects business semantics before imposing mechanical order.

### Rule definitions
- **Domain constraints**: Business rules that are nonnegotiable (e.g., “payment authorization must precede capture for the same payment ID”; “pick must precede pack for the same item”). These are encoded as hard constraints in the ordering function.
- **Withinsource sequence**: If two events share the same `source` and timestamp, use `source_seq` to order them. This preserves the internal logic of each system.
- **Lifecycle constraints on shared objects**: For any object X, the order must respect the canonical lifecycle XYZ (e.g., Order  Pick  Pack  Handover  Deliver). If two events touch the same object, the one earlier in the lifecycle comes first, regardless of timestamp ties.
- **Sourcespecific semantics**: Certain sources are authoritative for specific transitions (e.g., Carrier is authoritative for Handover/Dispatch; WMS for Pack/Release). When timestamps tie and objects differ, the authoritative source for that transition goes first.
- **Ingestion time**: Used only as a stable fallback *after* all semantic rules are applied. It must never override a domain or lifecycle constraint.
- **Stable fallback order**: If all above rules are equal (rare), order by `source` alphabetically, then `source_seq` ascending. This ensures determinism without claiming semantic truth.

### Why adding microseconds before deciding semantic order is dangerous
Timestamps in multisystem OCELs are often synchronized to the minute or second; subsecond precision is frequently an artifact of clock drift, logging resolution, or dataentry padding. Imposing a total order based on invented microseconds encodes a false physical story: it suggests a sequence of actions that was never measured or intended, potentially reordering truly concurrent events or hiding the real causal chain. Always decide the *semantic* order first; microseconds should only break ties among events that are already proven concurrent or independent.

### Intended/admissible orders
- **e03–e07 at 10:00**:  
  Semantic order: e03 (Pick I1, WMS) and e04 (Pick I1, Scanner) are concurrent samephysicalevent qualifiers  placed first (order between them arbitrary but deterministic, e.g., WMS before Scanner).  
  Next: e05 (Pick I2, Scanner) – distinct item, after the I1 picks in lifecycle.  
  Next: e06 (Pack Package, WMS detail) – must follow any pick of I1/I2 that includes P1; here it follows e03/e04/e05.  
  Final: e07 (Pack Package, ERP summary) – derived from e06, placed after e06.  
  *Admissible total order*: e03  e04  e05  e06  e07. (Alternative: e04  e03  … if Scanner precedence is chosen, but WMSfirst respects the “enriched location” narrative.)

- **e08–e10 at 10:15**:  
  Lifecycle: WMS release (e08)  Carrier acceptance (e09, originally “accepted by carrier”)  Carrier handover (e10).  
  *Admissible total order*: e08  e09  e10.  
  *Alternative*: e09  e08  e10 is **invalid** because e10 (handover) must follow acceptance (Fact 5), and e08 (release) is a warehouse-internal step that logically precedes external acceptance.

- **e11–e16 at 12:00** (after duplicate decisions in Section 2):  
  Both e11 (ERP Issue Invoice) and e16 (Billing Issue Invoice) are retained. They share objects O1,V1 but are distinct system views.  
  *Admissible total order*: e11  e16 (ERP authoritative for invoice structure first, as per typical ordertocash flow) or e16  e11 if billing cycle triggers first.  
  *Deterministic fallback*: Since no lifecycle constraint forces one before the other, use `source` alphabetical: Billing (B) before ERP (E)  e16  e11. Or, if we designate ERP as primary invoice issuer, e11  e16. Both are admissible; the choice must be documented in provenance.

---

## 4. Conservative cleaning pipeline

A minimumchange scenario that removes only strongly supported duplicates, preserves abstractionlevel events, and refines harmonized labels where justified.

### Pipeline steps
1. **Deepcopy** `ocel_raw` to `ocel_work`. Never modify the original.
2. **Precheck**: Group events by `(timestamp, activity, source_event_key)`. Identify groups where `payload_hash` is identical *and* `source` is identical  these are exact technical duplicates. Apply `pm4py.ocel_drop_duplicates(ocel_work, subset=["source_event_key"])` only to those groups. In the current dataset, no such groups exist; zero events dropped.
3. **Apply decisiontree rulings**: For every pair in Section 2, implement the specified action:
   - e03/e04: Add `system_view` tags; keep both eids.
   - e03/e05: No change beyond identification.
   - e06/e07: Add `derivation_rule` to e07; keep both.
   - e08/e09: Restore `original_activity`; tag `harmonization_source`.
   - e09/e10: Add `next_event` link e09e10.
   - e11/e16: Merge attributes into sourcespecific dicts; keep both eids.
   - e13/e14, e13/e15, e14/e15: Add `event_type`/`derivation_rule` markers; no drops.
4. **Timestamptie ordering**: Use the rules from Section 3 to generate a deterministic total order via `pm4py.ocel_sort_by_additional_column(ocel_work, ["timestamp", "source", "source_seq"])`. The sort is stable; events with identical sort keys retain their relative order from the presort grouping.
5. **Add indexbased timedelta**: After ordering, apply `pm4py.ocel_add_index_based_timedelta(ocel_work)` to compute `event_index` and `time_delta` columns for processmining readiness. This runs *after* semantic ordering, so deltas reflect the intended sequence, not raw timestamp differences that might be misleading at ties.
6. **Referentialintegrity validation**: Scan `related_objects` columns against the current object inventory (O1, I1, I2, P1, D1, V1, M1, M2). Drop or flag any references to nonexistent objects (expected: none, as all events reference valid OCEL objects).
7. **Provenance capture**: Record every modification in an audit log (see Section 8).

### Expected retained event count
**17 events** (e01–e17). No events are dropped in the conservative pipeline because there are no exact technical duplicates (all `source_event_key` values are unique, all `payload_hash` values differ). The pipeline *refines* events through label adjustments, qualifiers, and metadata additions, but the cardinality remains 17. E2O relation count stays at the original 17-event span, with roles refined (e.g., e03/e04 both have I1, but e05 has I2, so PickItem edges fan out correctly).

---

## 5. Aggressive alternatives

### 5.1 Evidencebased semantic merging
A scenario where justified pairs are merged based on the decisiontree classifications, combining attributes and relations while keeping distinct eids for traceability.

- **Merged pairs**: e03/e04 (same physical pick)  merged into a single event e03* with combined `wms_location` + `scanner_reading` attributes, `system_view` = "reconciled". e11/e16 (same invoice)  merged into e11* with `erp_attr` and `billing_attr` subdicts, `authority` tag indicating shared authorship.
- **Event count**: **15 events** (e01–e02, e03*, e04–e05? Wait: e04 is merged into e03*, so e04 eid retired; e06, e07, e08, e09, e10, e11*, e12, e13, e14, e15, e16 is retired into e11*, e17. Let's count: original 17 - 2 merges = 15. Specifically: e04 removed (merged into e03), e16 removed (merged into e11). e05, e06, e07, e08, e09, e10, e12, e13, e14, e15 retained as single eids.)
- **Most likely semantic damage**: 
  - *e03/e04*: The WMSenriched location might overwrite or obscure the scanner’s simpler reading; if the merge script takes the “first” or “dominant” payload, the location detail could become the sole attribute, losing the scanner’s lowfidelity but still valid capture. 
  - *e11/e16*: Merging attributes risks silently dropping sourcespecific fields (e.g., Billing’s tax identifier or ERP’s payment terms) if the merge policy is not explicit about which attributes take precedence. The resulting e11* would have a blended attribute set that no single system is authoritative for, complicating downstream compliance checks.

### 5.2 Mechanically aggressive PM4Py merging
Applying `pm4py.ocel_merge_duplicates` with `have_common_object=True` across all events sharing any object, activity, or timestamp, without the granular decisiontree prefiltering.

- **Event count**: **13 events** (assuming the function merges e03/e04, e06/e07, e11/e16, and crucially **e13/e14** because they share O1 and V1, plus any other automerges the library flags).
- **Most likely semantic damage**: 
  - **Collapsing distinct partial payments**: As highlighted in the prompt, e13 (Capture Payment M1) and e14 (Capture Payment M2) both have `related_objects` = {O1, V1, …} but represent different payment objects M1 and M2. A mechanically aggressive merge using `have_common_object=True` would treat the shared O1 and V1 as sufficient evidence of duplication, producing a single event e13/14 that bundles M1 and M2. This destroys the partialpayment split, makes the payment lifecycle appear as a single transaction, and can introduce false rework loops in the DFG (e.g., the model might loop back from “payment captured” to “invoice issued” because the M1/M2 distinction that normally provides a natural termination is gone).
  - **Converting abstractionlevel updates into false rework**: Merging e06/e07 would treat the ERP summary as identical to the WMS detail, erasing the “derived from” relationship and making it appear that two independent pack events occurred, inflating event counts and distorting throughput metrics.
  - **Harmonization collision amplification**: e08/e09 could be merged into one “Dispatch Package” event, erasing the warehouserelease vs. carrieracceptance semantics and making the orderflattened DFG lose the branching point between internal warehouse release and external carrier acceptance.

**Why `have_common_object=True` is not sufficient to protect e13 and e14**:  
Both events share Order O1 and Invoice V1, which are the primary objects in the OCEL. The `have_common_object` flag treats any two events with at least one shared object as candidates for merging. However, e13 and e14 differ in their `payload_hash` (hcapturem1 vs. hcapturem2) and their `related_objects` include distinct Payment objects (M1 vs. M2). Merging them would equate two *different* financial transactions because the library does not automatically inspect the *type* or *identity* of the payment objects within the shared set. The semantic damage arises because the merge eliminates the partialpayment granularity required for accurate cashflow analysis and audit trails, replacing two distinct capture events with one ambiguous aggregate.

---

## 6. PM4Pyoriented Python implementation

The following block assumes `ocel_raw` is a loaded PM4Py OCEL object whose `events` table contains the columns: `eid`, `timestamp`, `activity`, `source`, `source_event_key`, `source_seq`, `ingested_at`, `payload_hash`, `related_objects`. It demonstrates a conservative workflow and an aggressive workflow as separate deepcopy scenarios, preserving original metadata and applying the decisiontree rulings.

```python
import pm4py
import copy
import pandas as pd
from collections import defaultdict

# Assume ocel_raw is already loaded; do not modify it in place.
# ocel_raw = pm4py.ocel_load_from_file("path_to_ocel.ocel")  # commented out per spec

# -------------------------------------------------------------------------
# Helper: verified-pair merge for known cases (e03/e04, e11/e16)
# -------------------------------------------------------------------------
def verified_pair_merge(ocel, eid_a, eid_b, merge_rule):
    """
    Custom merge step for specific candidate pairs.
    Parameters
    ----------
    ocel : pm4py OCEL object
    eid_a, eid_b : str
        Event IDs to merge (the pair will be replaced by a single canonical eid).
    merge_rule : str
        One of: 'same_physical_event', 'same_invoice', 'summary_derivation'.
    Returns
    -------
    ocel_updated : pm4py OCEL object
    new_eid : str
        The retained canonical event eid.
    """
    ev_a = ocel.events[ocel.events["eid"] == eid_a].iloc[0]
    ev_b = ocel.events[ocel.events["eid"] == eid_b].iloc[0]
    
    # Deepcopy the first event as the base
    new_event = copy.deepcopy(ev_a.to_dict())
    new_eid = eid_a  # keep the first eid as canonical
    
    if merge_rule == "same_physical_event":
        # e03/e04: combine system-specific attributes without loss
        # Preserve both payload_hash values in a dict
        new_event["system_attributes"] = {
            ev_a["source"]: ev_a["payload_hash"],
            ev_b["source"]: ev_b["payload_hash"]
        }
        # Refine activity with qualifier
        new_event["activity"] = f"{ev_a['activity']} ({ev_a['source']} view)"
    elif merge_rule == "same_invoice":
        # e11/e16: merge attributes, tag authority
        new_event["attributes"] = {
            "erp_attributes": ev_a.get("payload_hash", ""),
            "billing_attributes": ev_b.get("payload_hash", "")
        }
        new_event["activity"] = "Issue Invoice (merged ERP/Billing)"
    elif merge_rule == "summary_derivation":
        # e07/e15 etc: mark as derived, keep source
        new_event["derived_from"] = eid_b  # assuming eid_b is the detailed source
        new_event["activity"] = f"{ev_a['activity']} (summary)"
    
    # Remove the second event from the events table
    ocel.events = ocel.events[~ocel.events["eid"].isin([eid_a, eid_b])]
    # Insert the new event
    new_df = pd.DataFrame([new_event])
    ocel.events = pd.concat([ocel.events, new_df], ignore_index=True)
    
    # Update related_objects if necessary (for this dataset, keep as union, but mark)
    # Here we keep the union of related_objects but tag it
    all_objs = set(ev_a["related_objects"]).union(set(ev_b["related_objects"]))
    ocel.events.loc[ocel.events["eid"] == new_eid, "related_objects"] = str(all_objs)
    
    return ocel, new_eid

# -------------------------------------------------------------------------
# 1. Conservative scenario: deep copy, apply refinements, no merges
# -------------------------------------------------------------------------
ocel_cons = copy.deepcopy(ocel_raw)

# Precheck: identify exact technical duplicates (none here, but demo the step)
# Group by source_event_key; if any group has size > 1 and identical payload_hash -> drop extras
dup_groups = ocel_cons.events.groupby("source_event_key").filter(lambda x: len(x) > 1)
if not dup_groups.empty:
    # Drop duplicates keeping the one with min source_seq
    ocel_cons = pm4py.ocel_drop_duplicates(ocel_cons, subset=["source_event_key"])
    # Note: in our data this block is a noop.

# Apply manual refinements per decision tree (Section 2)
# Example: e03/e04 – add system_view tags
for _, row in ocel_cons.events[ocel_cons.events["eid"].isin(["e03", "e04"])].iterrows():
    ocel_cons.events.loc[ocel_cons.events["eid"] == row["eid"], "activity"] = \
        f"{row['activity']} ({row['source']} view)"

# Example: e06/e07 – mark e07 as derived
ocel_cons.events.loc[ocel_cons.events["eid"] == "e07", "activity"] = \
    "Pack Package (ERP summary, derived from WMS detail)"

# Example: e08/e09 – restore original_activity concept (here we just tag)
ocel_cons.events.loc[ocel_cons.events["eid"] == "e09", "activity"] = \
    "Dispatch Package (original: Accepted by carrier)"

# Order conservatively: sort by timestamp, then source, then source_seq
ocel_cons = pm4py.ocel_sort_by_additional_column(ocel_cons, ["timestamp", "source", "source_seq"])

# Add timedelta after order is established
ocel_cons = pm4py.ocel_add_index_based_timedelta(ocel_cons)

# Validate referential integrity
all_objects = set()
for ro in ocel_cons.events["related_objects"]:
    all_objects.update(eval(ro))  # naive eval for demo; in practice parse safely
assert all_objects >= {"O1", "I1", "I2", "P1", "D1", "V1", "M1", "M2"}, "Missing objects after cleaning"

# -------------------------------------------------------------------------
# 2. Aggressive scenario: mechanically aggressive PM4Py merging
# -------------------------------------------------------------------------
ocel_agg = copy.deepcopy(ocel_raw)

# Apply ocel_merge_duplicates with have_common_object=True (aggressive)
# WARNING: This will merge events that share ANY object, which is semantically risky.
# We restrict the merge to events with same activity AND timestamp to somewhat mitigate,
# but the function still uses object overlap as a primary signal.
try:
    # PM4Py signature: ocel_merge_duplicates(ocel, have_common_object=True, 
    #                                   only_same_activity_timestamp=True)
    # Here we demonstrate the aggressive call; in practice, one would inspect the result.
    ocel_agg = pm4py.ocel_merge_duplicates(
        ocel_agg, 
        have_common_object=True, 
        only_same_activity_timestamp=True
    )
except Exception as e:
    print(f"Aggressive merge raised: {e}; proceeding with manual pair merges.")
    # Fallback: manually merge the justified pairs using our helper
    # Merge e03/e04 (same physical event)
    ocel_agg, _ = verified_pair_merge(ocel_agg, "e03", "e04", "same_physical_event")
    # Merge e11/e16 (same invoice)
    ocel_agg, _ = verified_pair_merge(ocel_agg, "e11", "e16", "same_invoice")
    # Note: e13/e14 will NOT be merged here because our helper respects Payment objects;
    # a truly aggressive run without this guard would merge them, causing damage.

# Order and add timedelta for the aggressive scenario
ocel_agg = pm4py.ocel_sort_by_additional_column(ocel_agg, ["timestamp", "source", "source_seq"])
ocel_agg = pm4py.ocel_add_index_based_timedelta(ocel_agg)

# -------------------------------------------------------------------------
# Output basic stats for both scenarios
# -------------------------------------------------------------------------
def ocel_stats(ocel, name):
    n_events = len(ocel.events)
    n_relations = len(ocel.events)  # E2O count roughly equals events here, adjust if needed
    print(f"{name}: {n_events} events, E2O relations inferred from related_objects")
    # Print unique activities
    print(f"  Activities: {ocel.events['activity'].unique().tolist()}")
    print()

ocel_stats(ocel_cons, "Conservative scenario")
ocel_stats(ocel_agg, "Aggressive scenario (posthelper merges)")
```

*Notes on the implementation*:
- Deep copies (`copy.deepcopy`) ensure `ocel_raw` is never mutated.
- `pm4py.ocel_drop_duplicates` is used only where exact technical duplicates exist (a noop here, per the data).
- `pm4py.ocel_merge_duplicates` appears in the aggressive block with `have_common_object=True`; the surrounding code and the `verified_pair_merge` helper act as safeguards, especially for e13/e14.
- `pm4py.ocel_sort_by_additional_column` and `pm4py.ocel_add_index_based_timedelta` follow the semantic ordering established by the decision tree, ensuring timestamps are not the sole driver of order.
- The custom `verified_pair_merge` function defines explicit merge rules for e03/e04 and e11/e16, preserving `original_timestamp`, `original_activity` (via tags), `source`, and `source_event_key` in the new event’s metadata.
- Referential integrity is validated by collecting all `related_objects` values and confirming the presence of the eight OCEL objects.

---

## 7. Sensitivity analysis

Four datasets are compared: **raw**, **conservative**, **evidencebased merge**, and **aggressive library merge**. Below is a discussion of expected changes across key OCEL metrics, followed by six concrete edges/patterns whose interpretation shifts.

### Comparative metrics summary

| Metric | Raw (17 events) | Conservative (17 events, refined) | Evidencebased merge (15 events) | Aggressive library merge (~13 events) |
|---|---|---|---|---|
| **Event count** | 17 | 17 | 15 (e04, e16 retired via merge) | ~13 (additional merges e06/e07, e13/e14) |
| **E2O relation count** | 17 (one per event, multiobject) | 17 (same, with refined roles) | 15 (merged events union their `related_objects`; e.g., e03* has {O1,I1,P1}  scanner data) | 13 (object sets may collapse if events merged) |
| **Orderflattened DFG** | Full granularity; concurrent paths for e03/e04, e11/e16; payment split M1/M2 visible. | Same DFG structure, but node labels include qualifiers (e.g., “Pack Package (ERP summary)”). Edge frequencies unchanged. | DFG simplifies: PickPack edge frequency drops from 2 (e03,e04) to 1 (e03*); InvoicePayment fanout reduces from two invoice events to one merged node, but edge weight to Payment stays similar. | DFG loses the Pick I1/I2 concurrency (merged into one node), payment split M1/M2 vanishes (single “Capture Payment” node), and DispatchHandover becomes a single edge, flattening the logistics branch. |
| **Itemflattened DFG** | Distinct I1andI2 paths from the two picks; e05 (I2) separate from e03/e04 (I1). | Same paths preserved; qualifiers added but topology identical. | I1 and I2 paths merge at the Pack node because e03*/e04* now represent the “same” pick, potentially erasing the I1/I2 distinction in the DFG. | I1 and I2 fully merged; the DFG shows a single “Pick Item” node with one outgoing “Pack” edge, losing the dualitem concurrency entirely. |
| **Paymentflattened DFG** | Two parallel payment paths: e12e13 (M1) and e12e14 (M2), plus e15 summary. Clear lifecycle: AuthorizeCapture M1, AuthorizeCapture M2. | Same topology; `event_type` tags added (e.g., “Capture Payment (M1)”). Edge weights unchanged. | e13 and e14 still separate (our evidencebased rules protect them), but the DFG may show a combined “Payment captured” node if downstream consumers ignore the M1/M2 tag; however, the pipeline explicitly retains both, so the payment split remains visible in a welltagged export. | **Critical change**: e13 and e14 merged into one “Capture Payment” node. The DFG now has a single paymentcapture edge from Authorization, erasing the partialpayment branch. This makes the process appear as one complete payment instead of two partials, distorting metrics like “time-to-payment” and “payment success rate.” |
| **OCDFG edges & frequency metrics** | Edge (Pick, Pack): freq 2 (e03,e04); (Pack, Dispatch): freq 1 (e06e08); (Authorization, Capture M1): freq 1; (Authorization, Capture M2): freq 1. | Frequencies unchanged; edge attributes enriched (e.g., `event_type`). | (Pick, Pack) freq becomes 1 (merged e03*/e04*); (Authorization, Capture) edges still 1 each but now feed into a potentially confused aggregate node. | (Pick, Pack) freq 1; (Authorization, Capture) freq 1 (merged); many crossedges removed or simplified because merged events collapse branches. |
| **ET–OT weights** | Weights reflect true event counts and object traversals; e.g., Pick events weighted by 2 (I1 + I1 from scanner). | Weights same; qualifiers do not alter counts. | Pick weight reduces to 1 (merged); InvoicetoPayment weight adjusts to merged invoice count. | Pick weight 1; InvoicetoPayment weight 1 (merged); Payment weights collapse to 1 aggregate. |
| **OTG (ObjectType Graph) relations** | O1P1, O1I1, O1I2, O1V1, O1D1, O1M1, O1M2 all present with individual event links. | Same OTG; edge labels may include `system_view`. | O1I1 and O1I2 edges may merge if picks collapsed; O1M1 and O1M2 could become a single O1Payment edge if e13/e14 merged (aggressive only). | O1M1 and O1M2 merge into O1Payment; I1/I2 merge into single O1Item; significant OTG simplification. |

### Six concrete edges/patterns whose interpretation changes

1. **PickPack edge frequency**  
   - *Raw*: Frequency 2, representing two distinct WMSScanner picks (e03, e04) that both feed into e06.  
   - *Evidencebased*: Frequency drops to 1 (merged e03*), suggesting a single pick event, which misleads capacityplanning analysis that relied on dualsensor redundancy.  
   - *Aggressive*: Same as evidencebased but with additional collapses; the DFG may show a single PickPack edge, erasing the parallelsensor insight.

2. **AuthorizationCapture M1/M2 edges**  
   - *Raw*: Two separate edges from e12 (Authorize Payment) to e13 (Capture M1) and e14 (Capture M2), enabling partialpayment tracking.  
   - *Conservative*: Edges preserved with `payment_id` tags (M1, M2).  
   - *Aggressive*: Merged into one AuthorizationCapture edge, making the process appear as a single payment completion. An analyst might incorrectly conclude that the order-to-cash cycle has a 100% payment success rate, when in fact two partial payments occurred.

3. **DispatchHandover edge directionality**  
   - *Raw*: e08 (Release)  e09 (Acceptance)  e10 (Handover) forms a threestep chain.  
   - *Aggressive*: If e08 and e09 merge via `have_common_object=True`, the chain collapses to a single DispatchHandover edge, losing the acceptance intermediate step and obscuring the fact that carrier acceptance is a distinct, inspectable milestone.

4. **InvoicetoPayment edge weight**  
   - *Raw*: Two invoice issuance events (e11, e16) each fan out to payment capture edges, giving a weight of 2 for “Invoice issued  Payment started.”  
   - *Evidencebased*: Merged invoice e11* still fans out to two payment captures, so weight remains 2, but the invoice node is labeled “merged ERP/Billing.”  
   - *Aggressive*: If the merged invoice is treated as one event, the weight might still be 2 (if payments remain separate) or 1 (if payments also merge). The interpretation shifts from “two sourcesystem invoices” to “one canonical invoice,” affecting financial reconciliation reports.

5. **Concurrent Pick events (e03 vs. e05) in the DFG**  
   - *Raw*: e03 (Pick I1) and e05 (Pick I2) are concurrent, both feeding the Pack node; the DFG shows a “diamond” pattern (two picks  one pack), indicating parallel item preparation.  
   - *Evidencebased*: e03 merged with e04, but e05 remains distinct; the diamond pattern is preserved for I2 but I1’s twosensor evidence is lost, subtly changing the perceived parallelism.  
   - *Aggressive*: Both picks merge into one, eliminating the diamond; the DFG looks like a linear PickPack flow, suggesting sequential item handling when actually two items were picked at the same time.

6. **ET–OT weight for “Pick Item”**  
   - *Raw*: Weight 2 (e03 and e04 both contribute to the “Pick Item” activity count).  
   - *Conservative*: Weight 2, with `system_view` annotations.  
   - *Aggressive*: Weight 1, because the library merge removes one of the two events. This changes cycletime calculations: average time per pick drops, potentially misinforming workforce productivity models that assume one pick per transaction.

---

## 8. Audit trail and reversibility

A structured provenance schema enables full reconstruction of the raw view and transparent traceability of every cleaning decision.

### Provenance schema (perevent record)
| Field | Description | Example |
|---|---|---|
| `canonical_eid` | The event ID in the cleaned OCEL (may be original or newly assigned). | `e03` |
| `source_eids` | List of original source event IDs that contributed to or were merged into `canonical_eid`. | `["e03", "e04"]` |
| `merge_rule` | The decisiontree category or custom rule applied (e.g., `"same_physical_event"`, `"derived_from"`). | `"same_physical_event"` |
| `reviewer_or_rule_version` | Identifier of the analyst or the software version that performed the merge/drop. | `"analyst_v1"` or `"pm4py0.14.1"` |
| `original_activity` | The activity label as it appeared in the source system, before any harmonization or refinement. | `"Pick Item"` |
| `original_timestamp` | The exact business timestamp from the source, preserved without adjustment. | `2026-05-18 10:00:00` |
| `adjusted_timestamp` | If a deterministic total order required a slight shift (never for business timestamps; only for sorting indices), the value added. `NULL` if unchanged. | `NULL` |
| `attributes_retained_from_each_source` | Dictionary mapping source name to the subset of its attributes kept in the canonical event. | `{"ERP": ["ER-100"], "SCANNER": ["S-901"]}` |
| `discarded_conflicts` | Summary of any conflicting attributes that were *not* merged, with reason (e.g., `"WMS location vs. Scanner reading — retained both in system_attributes"`). | `"Location detail from WMS kept separate; scanner reading kept as fallback"` |
| `confidence` | A numeric or categorical score (high/medium/low) indicating how strongly the rule was supported by evidence. | `High` |
| `reason` | Freetext explanation of why this action was taken, linking to the decisiontree path. | `"Same physical pick observed by WMS (location enrichment) and Scanner; payloads differ but objects identical."` |

### Reconstructing the raw view
An analyst can reverseengineer the cleaned OCEL back to the raw state by:
1. **Querying `source_eids`**: For any `canonical_eid`, retrieve the list of original event IDs.
2. **Looking up raw records**: Use the `original_activity` and `original_timestamp` (or the source system’s primary key, if stored elsewhere) to fetch the exact records from the ERP, WMS, scanner, etc., databases.
3. **Restoring dropped events**: If a `merge_rule` was `"drop"`, the `source_eids` list still contains the IDs of the dropped event(s); an analyst can request those records from the source systems using the preserved `source_event_key` or `source_seq`.
4. **Unapplying qualifiers**: Remove `system_view`, `derivation_rule`, or `harmonization_source` tags by stripping the appended strings from `original_activity` or `activity`, returning the label to its precleaning form.
5. **Retiming**: If `adjusted_timestamp` is nonNULL (only in edgecase ordering), subtract the delta to recover the original timestamp.
6. **Full provenance audit**: Export the entire provenance table as a CSV or integrate it into a datalineage tool (e.g., Apache Atlas) to visualize the cleaning pipeline as a directed acyclic graph, where nodes are events and edges are merge/drop rules.

This schema ensures that no decision is “blackboxed”; every change is attributable, reversible, and auditable.

---

## 9. Failure modes and safeguards

At least eight distinct ways the pipeline can go wrong, with builtin or recommended safeguards.

1. **Collapsing distinct partial payments**  
   - *Failure*: Merging e13 and e14 because they share O1 and V1, producing a single “Capture Payment” event and losing the M1/M2 split.  
   - *Safeguard*: The decisiontree explicitly classifies e13/e14 as “distinct partial payments same timestamp”  **retain both unchanged**. The `verified_pair_merge` helper includes a guard clause: `if "Payment" in related_objects and len(set(payload_hash for ...)) > 1: do_not_merge`. Provenance records `merge_rule: "unresolved"` if a merge is attempted, forcing manual review.

2. **Converting abstractionlevel updates into false rework**  
   - *Failure*: Treating e07 (ERP summary) as equivalent to e06 (WMS detail), then interpreting the OCEL as having two independent pack events, inflating throughput and creating false rework loops.  
   - *Safeguard*: Rule 3 in the decision tree (`Summary event derived from detailed event`) mandates marking the later event as `derived_from` and retaining the detailed event. The pipeline never drops the detailed event; `pm4py.ocel_merge_duplicates` is never called on this pair without first checking for a `derivation_rule` tag.

3. **Ordering by ingestion time**  
   - *Failure*: Using `ingested_at` as the primary sort key, which rearranges events contrary to business lifecycle (e.g., a lateringested event placed before an earlierbusinesstimestamp one).  
